genre;artist_name;title;loudness;tempo;time_signature;key;mode;duration;avg_timbre1;avg_timbre2;avg_timbre3;avg_timbre4;avg_timbre5;avg_timbre6;avg_timbre7;avg_timbre8;avg_timbre9;avg_timbre10;avg_timbre11;avg_timbre12;var_timbre1;var_timbre2;var_timbre3;var_timbre4;var_timbre5;var_timbre6;var_timbre7;var_timbre8;var_timbre9;var_timbre10;var_timbre11;var_timbre12
classic pop and rock;Belbury Poly;The All at Once Club;-6,346;125,027;4;7;1;226,89914;46,2722033;-11,20650769;3,940263736;20,75832857;32,31328791;-2,816167033;10,44562088;-14,3219033;14,5861044;-7,340892308;6,744527473;5,455817582;16,02552902;1770,621832;1073,743948;1107,288612;652,7516696;790,2206438;547,5417899;304,3295855;297,3947814;431,0674959;227,8970539;326,7893435
classic pop and rock;Belbury Poly;A Great Day Out;-9,905;108,004;4;0;1;263,02649;41,38747818;-82,96516909;-2,387219091;21,80976818;-18,80150909;1,253228182;29,72183;-15,80273727;7,29041;-7,792265455;0,971006364;7,341520909;26,52567978;8256,076507;2900,46985;1513,880817;1372,852735;1336,71793;873,4504241;1112,108342;1236,478032;659,4736353;329,8865176;519,1449667
classic pop and rock;Belbury Poly;Widdershins;-8,785;113,359;4;11;0;201,16853;44,40046705;-53,4105711;42,47576301;31,52496879;9,924912139;-4,651431214;-9,420041619;-9,397563006;-8,131965318;-4,373482081;9,764324855;17,19055145;33,78012124;4055,406596;2434,901036;1376,340284;1139,97313;1040,525228;1707,086268;892,343287;764,4018201;367,4557868;281,7403302;721,88063
classic pop and rock;Belbury Poly;Seed Ships;-12,913;113,01;4;5;1;186,90567;40,03143577;-165,314904;39,25073109;25,12602281;11,07393998;-15,8794922;0,89677551;-26,92348019;14,3250096;-6,756432173;11,59641537;2,244462185;34,22565258;3072,857075;1322,03955;649,0217488;597,1102033;522,4279143;432,1223177;582,4872382;434,2994519;264,1628789;130,9594582;221,7617549
classic pop and rock;Belbury Poly;And The Cuckoo Comes to Belbury;-12,458;86,475;3;4;1;220,08118;40,58444898;-76,52759456;16,84106259;3,346019048;37,74568707;-13,35903946;22,63353742;-5,417195918;-1,199942857;-5,735234014;-1,54549932;-7,439855782;53,01270236;4300,673617;2698,763869;1080,1055;1674,79107;821,9646905;2410,446971;607,7357398;878,3936515;364,0797038;185,4617091;533,6814308
classic pop and rock;Belbury Poly;Clockwork Horoscope;-10,351;117,995;3;7;1;216,60689;43,68955256;-43,45245822;19,26058356;2,498663073;-7,015855795;-18,14201617;14,6561779;-12,36618194;7,920871968;-5,912126685;1,78303504;-0,739828841;25,59670423;2369,769087;1682,628225;748,3252319;899,8892776;439,9617024;1048,190581;529,9496658;564,0714766;405,4020118;153,7421518;388,9328889
classic pop and rock;Belbury Poly;Belbury Poly Logotone;-16,709;0;0;5;1;11,98975;29,98332;-27,46344;110,64028;32,58864;7,56276;-18,54112;29,78476;1,8374;-40,90068;-13,35216;4,53952;39,81548;143,4868478;4153,920342;4324,172253;3335,295914;1304,139925;245,8490886;601,3677728;1358,137794;1829,030073;260,8896545;1048,585362;396,5389449
classic pop and rock;Belbury Poly;From  an Ancient Star;-8,345;100,002;4;10;0;298,23955;45,95562078;16,55907517;2,570777872;1,183407939;26,96332517;-23,88680405;6,58633277;-1,194512669;-19,27747804;1,530753378;3,895444257;0,640985642;17,04353698;2183,108477;1343,77403;583,85428;891,6009999;537,3420802;307,6921804;427,2125777;451,3493123;177,4797336;89,58184231;427,6125691
classic pop and rock;Belbury Poly;The Moonlawn;-18,189;243,965;4;4;0;257,90649;34,45840843;-210,3957301;-41,18132739;-2,765366288;25,21257861;-11,77359481;-1,736645057;-6,792165316;-5,163984603;-15,11426823;9,013871961;14,66000162;19,08158514;3256,853508;2406,030469;663,2142448;1088,047591;831,3799492;553,6769876;451,3476864;488,9073091;253,7966936;159,2306222;523,9771141
classic pop and rock;Belbury Poly;Pan's Garden;-18,184;101,529;4;1;1;276,68853;35,0161153;-112,390265;84,29505211;19,32838027;24,52581486;-13,12453215;-14,71200111;-1,507296009;-3,441186253;-8,315703991;6,777095344;6,441988914;34,01016119;4865,182589;4038,540928;2171,419437;1773,625906;578,4970623;1701,38402;599,5102502;1042,678146;314,1507501;222,2117798;886,7473738
classic pop and rock;Belbury Poly;Your Way Today;-12,797;155,925;4;5;1;82,78159;39,04912342;-27,77414241;-35,711;22,80329114;55,53810759;-9,707575949;7,105677215;8,805357595;16,96964241;-2,154699367;7,447806962;-1,70053481;43,82027366;12081,90079;3034,514788;3138,900451;2104,184498;1524,593766;1508,112774;2336,53837;1159,03058;820,5901901;691,7311678;649,6201397
